node_id,count_before,count_after
node-0,14691,13576
node-1,15625,16667
node-2,15625,16667
node-3,15625,16667
node-4,6755,7196
node-5,13683,13962
node-6,15625,16667
node-7,6872,6974
node-8,6529,6910
node-9,13614,14902
node-10,14930,15143
node-11,10071,10203
node-12,10198,11553
node-13,15625,16246
node-14,15625,16667
node-15,8907,0
#mode,churn
#algo,chbl
#churn_op,remove
#nodes_before,16
#nodes_after,15
#keys,200000
#moved,14662
#moved_ratio,0.073310
#zipf_s,1.200
#table_size,65537
#load_factor,1.250
#vnodes,100
#walk_threshold,8
#seed,42
#mean_before,12500.000
#max_before,15625
#cv_before,0.28027
#mean_after,12500.000
#max_after,16667
#cv_after,0.38431
