node_id,count_before,count_after
node-0,12561,11776
node-1,12357,11633
node-2,12397,11665
node-3,12605,11861
node-4,12590,11904
node-5,12630,11935
node-6,12719,11958
node-7,12476,11722
node-8,12513,11765
node-9,12263,11545
node-10,12622,11845
node-11,12655,11981
node-12,12522,11801
node-13,12399,11672
node-14,12286,11572
node-15,12405,11682
node-16,0,11683
#mode,churn
#algo,jump
#churn_op,add
#nodes_before,16
#nodes_after,17
#keys,200000
#moved,11683
#moved_ratio,0.058415
#zipf_s,0.000
#table_size,65537
#load_factor,1.250
#vnodes,100
#walk_threshold,8
#seed,42
#mean_before,11764.706
#max_before,12719
#cv_before,0.25024
#mean_after,11764.706
#max_after,11981
#cv_after,0.01103
