node_id,count_before,count_after
node-0,12561,13379
node-1,12357,13192
node-2,12397,13189
node-3,12605,13466
node-4,12590,13432
node-5,12630,13431
node-6,12719,13525
node-7,12476,13281
node-8,12513,13412
node-9,12263,13083
node-10,12622,13435
node-11,12655,13540
node-12,12522,13306
node-13,12399,13208
node-14,12286,13121
node-15,12405,0
#mode,churn
#algo,jump
#churn_op,remove
#nodes_before,16
#nodes_after,15
#keys,200000
#moved,12405
#moved_ratio,0.062025
#zipf_s,0.000
#table_size,65537
#load_factor,1.250
#vnodes,100
#walk_threshold,8
#seed,42
#mean_before,12500.000
#max_before,12719
#cv_before,0.01058
#mean_after,12500.000
#max_after,13540
#cv_after,0.25843
