node_id,count_before,count_after
node-0,7568,7777
node-1,6889,7210
node-2,12003,12157
node-3,4468,4577
node-4,47050,47225
node-5,6617,6950
node-6,8665,8772
node-7,13843,14134
node-8,17053,17806
node-9,8101,8332
node-10,9060,9526
node-11,13384,14049
node-12,11464,11682
node-13,4790,5029
node-14,24607,24774
node-15,4438,0
#mode,churn
#algo,jump
#churn_op,remove
#nodes_before,16
#nodes_after,15
#keys,200000
#moved,4438
#moved_ratio,0.022190
#zipf_s,1.200
#table_size,65537
#load_factor,1.250
#vnodes,100
#walk_threshold,8
#seed,42
#mean_before,12500.000
#max_before,47050
#cv_before,0.82224
#mean_after,12500.000
#max_after,47225
#cv_after,0.84535
