node_id,count_before,count_after
node-0,12650,11886
node-1,12572,11797
node-2,12724,11988
node-3,12424,11717
node-4,12586,11790
node-5,12454,11693
node-6,12733,11920
node-7,12364,11622
node-8,12590,11841
node-9,12426,11681
node-10,12373,11686
node-11,12489,11718
node-12,12026,11317
node-13,12699,11998
node-14,12273,11550
node-15,12617,11920
node-16,0,11876
#mode,churn
#algo,maglev
#churn_op,add
#nodes_before,16
#nodes_after,17
#keys,200000
#moved,11876
#moved_ratio,0.059380
#zipf_s,0.000
#table_size,65537
#load_factor,1.250
#vnodes,100
#walk_threshold,8
#seed,42
#mean_before,11764.706
#max_before,12733
#cv_before,0.25045
#mean_after,11764.706
#max_after,11998
#cv_after,0.01424
