node_id,count_before,count_after
node-0,12650,13488
node-1,12572,13350
node-2,12724,13645
node-3,12424,13293
node-4,12586,13537
node-5,12454,13326
node-6,12733,13532
node-7,12364,13228
node-8,12590,13368
node-9,12426,13317
node-10,12373,13156
node-11,12489,13356
node-12,12026,12799
node-13,12699,13552
node-14,12273,13053
node-15,12617,0
#mode,churn
#algo,maglev
#churn_op,remove
#nodes_before,16
#nodes_after,15
#keys,200000
#moved,12617
#moved_ratio,0.063085
#zipf_s,0.000
#table_size,65537
#load_factor,1.250
#vnodes,100
#walk_threshold,8
#seed,42
#mean_before,12500.000
#max_before,12733
#cv_before,0.01449
#mean_after,12500.000
#max_after,13645
#cv_after,0.25871
