node_id,count_before,count_after
node-0,13747,13892
node-1,13702,13859
node-2,10233,10525
node-3,5805,6807
node-4,5098,5710
node-5,20526,20706
node-6,10423,10593
node-7,24043,24296
node-8,9998,10383
node-9,43493,43937
node-10,5247,5706
node-11,12565,12744
node-12,7314,7919
node-13,6112,6396
node-14,5732,6527
node-15,5962,0
#mode,churn
#algo,maglev
#churn_op,remove
#nodes_before,16
#nodes_after,15
#keys,200000
#moved,5962
#moved_ratio,0.029810
#zipf_s,1.200
#table_size,65537
#load_factor,1.250
#vnodes,100
#walk_threshold,8
#seed,42
#mean_before,12500.000
#max_before,43493
#cv_before,0.77082
#mean_after,12500.000
#max_after,43937
#cv_after,0.79636
