node_id,count_before,count_after
node-0,13408,12447
node-1,12814,12396
node-2,13532,11690
node-3,12679,12233
node-4,12794,11654
node-5,11159,10946
node-6,12864,12215
node-7,10756,10756
node-8,12439,10583
node-9,11773,11678
node-10,14401,14025
node-11,12627,11498
node-12,13191,12400
node-13,10471,9787
node-14,13122,12614
node-15,11970,11638
node-16,0,11440
#mode,churn
#algo,ring
#churn_op,add
#nodes_before,16
#nodes_after,17
#keys,200000
#moved,11440
#moved_ratio,0.057200
#zipf_s,0.000
#table_size,65537
#load_factor,1.250
#vnodes,100
#walk_threshold,8
#seed,42
#mean_before,11764.706
#max_before,14401
#cv_before,0.26365
#mean_after,11764.706
#max_after,14025
#cv_after,0.07913
