node_id,count_before,count_after
node-0,13408,13733
node-1,12814,14236
node-2,13532,15282
node-3,12679,12899
node-4,12794,14139
node-5,11159,12428
node-6,12864,13684
node-7,10756,11078
node-8,12439,12884
node-9,11773,12538
node-10,14401,15544
node-11,12627,13183
node-12,13191,13855
node-13,10471,10754
node-14,13122,13763
node-15,11970,0
#mode,churn
#algo,ring
#churn_op,remove
#nodes_before,16
#nodes_after,15
#keys,200000
#moved,11970
#moved_ratio,0.059850
#zipf_s,0.000
#table_size,65537
#load_factor,1.250
#vnodes,100
#walk_threshold,8
#seed,42
#mean_before,12500.000
#max_before,14401
#cv_before,0.08125
#mean_after,12500.000
#max_after,15544
#cv_after,0.27652
