node_id,count_before,count_after
node-0,6669,7177
node-1,22333,24560
node-2,5754,6326
node-3,54971,55121
node-4,6022,6310
node-5,8640,9262
node-6,12138,12486
node-7,6164,6226
node-8,5156,5292
node-9,5945,7319
node-10,14324,14520
node-11,8680,8760
node-12,9668,11041
node-13,14900,14931
node-14,10497,10669
node-15,8139,0
#mode,churn
#algo,ring
#churn_op,remove
#nodes_before,16
#nodes_after,15
#keys,200000
#moved,8139
#moved_ratio,0.040695
#zipf_s,1.200
#table_size,65537
#load_factor,1.250
#vnodes,100
#walk_threshold,8
#seed,42
#mean_before,12500.000
#max_before,54971
#cv_before,0.94419
#mean_after,12500.000
#max_after,55121
#cv_after,0.97593
